,global:learning_rate,global:batch_size,global:final_fc_hidden_units,global:weight_decay,global:num_epochs,global:patience,Age:type,Age:normalize,Age:numeric_latent_dim,Age:numeric_hidden_layers,Sex:type,Sex:normalize,Sex:numeric_latent_dim,Sex:numeric_hidden_layers,RestBP:type,RestBP:normalize,RestBP:numeric_latent_dim,RestBP:numeric_hidden_layers,Chol:type,Chol:normalize,Chol:numeric_latent_dim,Chol:numeric_hidden_layers,Fbs:type,Fbs:normalize,Fbs:numeric_latent_dim,Fbs:numeric_hidden_layers,ExAng:type,ExAng:normalize,ExAng:numeric_latent_dim,ExAng:numeric_hidden_layers,RestECG:type,RestECG:normalize,RestECG:numeric_latent_dim,RestECG:numeric_hidden_layers,mse,mse_train
0,0.0001,16,[150],0,100,5,numeric,True,50,2,numeric,True,10,1,numeric,True,20,0,numeric,True,10,2,numeric,True,50,1,numeric,True,10,2,numeric,True,10,0,313.47717520950124,426.96537254328854
1,0.0001,16,[150],0,100,5,numeric,True,100,2,numeric,True,10,0,numeric,True,50,1,numeric,True,10,2,numeric,True,100,1,numeric,True,100,2,numeric,True,100,2,347.36279322072306,433.7982353983077
2,0.0001,16,[150],0,100,5,numeric,True,50,1,numeric,True,20,0,numeric,True,10,1,numeric,True,100,0,numeric,True,10,2,numeric,True,50,1,numeric,True,50,0,349.035793332499,417.9341594357928
3,0.0001,16,[150],0,100,5,numeric,True,20,2,numeric,True,10,2,numeric,True,50,1,numeric,True,20,2,numeric,True,100,0,numeric,True,10,1,numeric,True,10,0,365.179188444929,413.52499657244437
4,1e-05,16,[100],0,100,5,numeric,True,50,0,numeric,True,100,2,numeric,True,20,0,numeric,True,50,1,numeric,True,20,2,numeric,True,50,2,numeric,True,20,0,447.01257149600036,535.9050596375865
5,0.001,16,[100],0,100,5,numeric,True,50,2,numeric,True,20,0,numeric,True,10,2,numeric,True,100,0,numeric,True,20,2,numeric,True,20,0,numeric,True,50,0,324.2754632562082,410.76610519268564
6,0.001,16,[100],0,100,5,numeric,True,20,1,numeric,True,10,1,numeric,True,20,1,numeric,True,50,1,numeric,True,20,2,numeric,True,50,1,numeric,True,10,2,320.6918333186125,400.4316191236789
7,0.0001,16,[100],0,100,5,numeric,True,20,2,numeric,True,10,2,numeric,True,100,0,numeric,True,10,2,numeric,True,100,2,numeric,True,50,2,numeric,True,10,0,323.5995173214276,418.4724474164352
8,0.001,16,[150],0,100,5,numeric,True,10,0,numeric,True,10,2,numeric,True,20,1,numeric,True,100,0,numeric,True,100,0,numeric,True,20,2,numeric,True,10,1,323.87757899555635,412.3939485683878
9,1e-05,16,[150],0,100,5,numeric,True,20,0,numeric,True,20,0,numeric,True,20,0,numeric,True,100,0,numeric,True,100,2,numeric,True,100,1,numeric,True,20,0,425.0865291123753,520.7161184746218
